"filename", "language", "vue", "JavaScript", "comment", "blank", "total"
"d:\vue\bbs\src\App.vue", "vue", 7, 0, 0, -1, 6
"d:\vue\bbs\src\components\dev.vue", "vue", 9, 0, 0, 0, 9
"d:\vue\bbs\src\components\newpost.vue", "vue", 104, 0, 0, 1, 105
"d:\vue\bbs\src\components\preview.vue", "vue", 7, 0, 0, 0, 7
"d:\vue\bbs\src\components\read.vue", "vue", 76, 0, 0, 3, 79
"d:\vue\bbs\src\global.js", "JavaScript", 0, 0, 3, 1, 4
"d:\vue\bbs\src\views\Theme.vue", "vue", 3, 0, 0, 0, 3
"Total", "-", 206, 0, 3, 4, 213
